State,Under5Years,5to13Years,14to17Years,18to24Years,25to44Years,45to64Years,65YearsandOver
AL,310504,552339,259034,450818,1231572,:1215966,641667,4661900,
AK,52083,85640,42153,74257,198724,:183159,50277,686293,
AZ,515910,828669,362642,601943,1804762,:1523681,862573,6500180,
AR,202070,343207,157204,264160,754420,:727124,407205,2855390,
CA,2704659,4499890,2159981,3853788,10604510,:8819342,4114496,36756666,
CO,358280,587154,261701,466194,1464939,:1290094,511094,4939456,
CT,211637,403658,196918,325110,916955,:968967,478007,3501252,
DE,59319,99496,47414,84464,230183,:230528,121688,873092,
DC,36352,50439,25225,75569,193557,:140043,70648,591833,
FL,1140516,1938695,925060,1607297,4782119,:4746856,3187797,18328340,
GA,740521,1250460,557860,919876,2846985,:2389018,981024,9685744
